

Rank	Name	Score	Points	Entry #	

1	Zach Sharpe	1723184950	100	#2280	
2	Sean J Grant	1446060840	90	#3663	
3	Dave Hubbard	1427416390	85	#3592	
4	Johnny Modica	1365300670	84	#303	
5	Kevin Birrell	1362997240	83	#1042	
6	David Riel	1248052790	82	#3643	
7	Josh Sharpe	1235385170	81	#2907	
8	Karl DeAngelo	1193202460	80	#3808	
9	Dave Stewart	1172139370	79	#2631	
10	Kevin Birrell	1153954750	78	#3893	
11	Ed Zeltmann	1152801270	77	#3922	
12	Josh Sharpe	1146477760	76	#2278	
13	Keith Elwin	1137990470	75	#1936	
14	Josh Sharpe	1121481670	74	#2279	
15	Josh Sharpe	1101850630	73	#3282	
16	Andy Rosa	1076422360	72	#2211	
17	Keith P Johnson	1067847080	71	#314	
18	Joshua Henderson	1040625330	70	#2286	
19	Dave Hegge	1017741980	69	#2959	
20	Roy Wils	995006760	68	#2339	
21	Bowen Kerins	970687160	67	#587	
22	Ed Zeltmann	955122510	66	#3862	
23	Lyman Sheats	953363650	65	#3657	
24	Joshua Henderson	908906210	64	#1144	
25	Dave Hubbard	880170750	63	#2634	
26	Andy Rosa	863162890	62	#2616	
27	Steven Bowden	832612950	61	#784	
28	John Flitton	792953050	60	#907	
29	Johnny Modica	790529460	59	#1688	
30	Andy Rosa	777804540	58	#1869	
31	Jason Werdrick	765874600	57	#384	
32	Adam Lefkoff	754272110	56	#31	
33	Keith Elwin	743873680	55	#2176	
34	Chris Basler	730501860	54	#437	
35	Koi Morris	694214530	53	#2775	
36	Steven Bowden	691702380	52	#3822	
37	Sean J Grant	682759370	51	#3521	
38	Kevin Birrell	659391090	50	#1041	
39	Adam Lefkoff	656280660	49	#267	
40	Dave Stewart	655986850	48	#1578	
41	Jim Belsito	650964910	47	#145	
42	Ed Zeltmann	641709810	46	#402	
43	Josh Sharpe	614837640	45	#294	
44	Andrei Massenkoff	609310400	44	#2523	
45	Cryss Stephens	591505450	43	#2577	
46	Chris Tabaka	576951550	42	#2030	
47	Sean J Grant	571713680	41	#189	
48	Chris Tabaka	569577860	40	#3855	
49	Tim Tournay	569110050	39	#1115	
50	Adam Becker	566108660	38	#1787	
51	Adam Lefkoff	546430660	37	#1883	
52	Steven Bowden	524049250	36	#2723	
53	Lyman Sheats	521219570	35	#3306	
54	Tim Tournay	508724120	34	#2081	
55	Zach Sharpe	492847090	33	#669	
56	Karl DeAngelo	484807180	32	#2141	
57	Jason Werdrick	482468500	31	#1220	
58	Roy Wils	482217600	30	#1068	
59	Andrei Massenkoff	482002890	29	#1185	
60	Brian Dye	481464000	28	#3885	
61	Jason Werdrick	468639500	27	#3022	
62	Fred Cochran	466079430	26	#3124	
63	Kevin Birrell	452312030	25	#2426	
64	Adam Becker	450158880	24	#2495	
65	Mahesh Murthy	449633320	23	#1085	
66	Sean J Grant	448954180	22	#3976	
67	Jason Werdrick	448785080	21	#1850	
68	Josh Sharpe	447019020	20	#3982	
69	Andy Rosa	440980810	19	#3709	
70	Zach Sharpe	437752170	18	#668	
71	Lyman Sheats	435682780	17	#201	
72	Tormod Pettersen	433747940	16	#1549	
73	Dave Hubbard	433105580	15	#2582	
74	Maurice Pelletier	432638910	14	#1791	
75	Dave Stewart	430052640	13	#1842	
76	David Riel	428148960	12	#2607	
77	Adam McKinnie	417994290	11	#165	
78	Robert Wong	417126300	10	#396	
79	Chris Tabaka	414618210	9	#680	
80	Sean J Grant	412023040	8	#1647	
81	Keith P Johnson	408729200	7	#1443	
82	Pete Hendricks	405928660	6	#1116	
83	Josh Sharpe	393845370	5	#92	
84	Joshua Henderson	375601420	4	#1661	
85	Mahesh Murthy	368861430	3	#1652	
86	Jon Ehrlich	364253120	2	#3445	
87	Jon Replogle	360443048	1	#2138	
88	Sean J Grant	355201060	0	#1646	
89	Mahesh Murthy	354325410	0	#3430	
90	Derek Fugate	348263690	0	#3957	
91	Tim Tournay	347984830	0	#524	
92	Jon Ehrlich	346608170	0	#2450	
93	David Dahl-Hansson	343790100	0	#26	
94	Cryss Stephens	343500560	0	#876	
95	Ed Zeltmann	339504660	0	#3673	
96	Nick Jaquay	338684810	0	#861	
97	Koi Morris	337235030	0	#4045	
98	Jason Werdrick	327812030	0	#2549	
99	David Riel	317825690	0	#888	
100	Adam McKinnie	315353990	0	#2462	
101	Steven Bowden	310917220	0	#365	
102	Ed Zeltmann	298370570	0	#78	
103	Sanjay Shah	290646260	0	#2402	
104	Brian Shepherd	286286970	0	#3778	
105	Joe Scaletta	284535490	0	#1058	
106	Robert Wong	277295380	0	#947	
107	Cryss Stephens	277182370	0	#2	
108	Damien Charlety	272417030	0	#1193	
109	Jason Zahler	269405730	0	#1865	
110	Adam Lefkoff	267695300	0	#3769	
111	Andy Rosa	258597390	0	#2210	
112	Kevin Birrell	253302240	0	#2589	
113	Brian Shepherd	251340930	0	#1302	
114	Adam Lefkoff	248522670	0	#266	
115	Andrew Rosa II	246879960	0	#3341	
116	Brian Dye	244899540	0	#208	
117	Dave Hubbard	240809500	0	#127	
118	Cryss Stephens	238231820	0	#1833	
119	Cayle George	234064770	0	#631	
120	Al Thomka	233273730	0	#1852	
121	Kevin Nickel	231302750	0	#128	
122	Sean J Grant	229584650	0	#1123	
123	Brian Dye	221953890	0	#2949	
124	Roy Wils	221133920	0	#2000	
125	Al Thomka	220243660	0	#886	
126	joe  Schall	217868290	0	#3060	
127	Derek Fugate	211931780	0	#226	
128	David Riel	208281900	0	#2337	
129	Maurice Pelletier	200278690	0	#1023	
130	Allan Vrooman	191679250	0	#1049	
131	Kevin Birrell	183931730	0	#3798	
132	Chris Tabaka	180773570	0	#2344	
133	David Riel	173374740	0	#43	
134	Nick Zendejas	173219230	0	#406	
135	Chris Tabaka	164115750	0	#2797	
136	Joshua Henderson	162418760	0	#2287	
137	Richard Wickersham	161783410	0	#3117	
138	Dave Hubbard	157655910	0	#4046	
139	Andrei Massenkoff	152868870	0	#766	
140	Damien Charlety	151189110	0	#1194	
141	Escher Lefkoff	150845800	0	#270	
142	Dave Stewart	136792120	0	#1843	
143	Zach Sharpe	133684460	0	#91	
144	Colin MacAlpine	126185350	0	#82	
145	Richard Achterberg	115413420	0	#2844	
146	David Riel	114216030	0	#887	
147	Bob S Johnson	112738450	0	#3979	
148	James Daley	109839250	0	#1505	
149	Trent Augenstein	104335630	0	#393	
150	Allan Vrooman	99005140	0	#1048	
151	David Riel	93056540	0	#2608	
152	James Daley	92560420	0	#1724	
153	Karyn Kiser	89078270	0	#3067	
154	Kevin Birrell	88520560	0	#854	
155	Koi Morris	82832710	0	#2375	
156	Adam Becker	73265690	0	#1140	
157	Jon Replogle	68396740	0	#811	
158	Johnny Modica	67767990	0	#1161	
159	Bob S Johnson	66805840	0	#2299	
160	John Flitton	63857990	0	#2657	
161	Josh Sharpe	61705910	0	#1360	
162	Koi Morris	60343340	0	#29	
163	Damien Charlety	59408410	0	#528	
164	Ed Zeltmann	53132710	0	#1379	
165	Dave Hegge	45932710	0	#1318	
166	Steve Zahler	45608410	0	#500	
167	Tormod Pettersen	43790690	0	#1550	
168	Roy Wils	39462850	0	#800	
169	Greg Lonsway	37548130	0	#1251	
170	David Riel	36807710	0	#381	
171	Brian Shepherd	35203270	0	#490	
172	Mahesh Murthy	26525000	0	#761	
173	Keith Elwin	25530140	0	#560	
174	John Bowes	15777570	0	#2894	
175	Tormod Pettersen	14760980	0	#3711	
176	Justin Bath	12015420	0	#3578	
177	Ed Zeltmann	11377570	0	#1126	
178	Damien Charlety	7600000	0	#1928	
