

Rank	Name	Score	Points	Entry #	

1	Steven Bowden	303685810	100	#3822	
2	Brian Shepherd	267579910	90	#2247	
3	Andrei Massenkoff	195019640	85	#766	
4	Roy Wils	181143470	84	#2339	
5	Cayle George	179880740	83	#631	
6	Andy Rosa	177960680	82	#2210	
7	Joshua Henderson	175327620	81	#3707	
8	Kevin Birrell	171296850	80	#1755	
9	Andy Rosa	159209780	79	#2211	
10	Sean J Grant	147130130	78	#3976	
11	Zach Sharpe	143509070	77	#91	
12	Nick Zendejas	128847040	76	#406	
13	Greg Galanter	128534860	75	#3676	
14	Andy Rosa	125979430	74	#2616	
15	Roy Wils	123789980	73	#800	
16	Joshua Henderson	121954710	72	#3255	
17	Joshua Henderson	121739580	71	#2859	
18	Mahesh Murthy	117691190	70	#762	
19	Nick Zendejas	117229280	69	#717	
20	Jon Replogle	116951110	68	#3436	
21	Cayle George	112445800	67	#1778	
22	Andy Rosa	110344880	66	#3709	
23	Escher Lefkoff	108069360	65	#672	
24	Steve Zahler	102860740	64	#500	
25	Joshua Henderson	102446290	63	#1660	
26	Jon Replogle	94286800	62	#2138	
27	Kevin Birrell	93364950	61	#854	
28	Sean J Grant	91600880	60	#3663	
29	Mahesh Murthy	90106370	59	#3430	
30	Jim Belsito	89749520	58	#477	
31	Sanjay Shah	89331730	57	#2402	
32	Derek Fugate	88522780	56	#1063	
33	Joe Kosack	88157730	55	#2335	
34	Cryss Stephens	86303810	54	#2577	
35	Chris Basler	85086800	53	#3812	
36	Dave Hubbard	84029640	52	#3592	
37	Johnny Modica	83272010	51	#1161	
38	Nick Zendejas	83148190	50	#3448	
39	Andrei Massenkoff	82360220	49	#2313	
40	Trent Augenstein	80407270	48	#2611	
41	Greg Galanter	79103890	47	#3816	
42	Jon Replogle	78308110	46	#3909	
43	Andrei Massenkoff	77639020	45	#2523	
44	Nick Zendejas	74986210	44	#2455	
45	Cryss Stephens	74337100	43	#1834	
46	Sean J Grant	74113720	42	#3128	
47	Jeff Douglas	73856280	41	#2079	
48	Sean J Grant	73771470	40	#1123	
49	Tim Tournay	73427880	39	#1114	
50	Chris Tabaka	73098280	38	#680	
51	Jon Replogle	72554510	37	#271	
52	Adam Becker	71066820	36	#2067	
53	Brett Berkman	70820280	35	#1601	
54	Adam McKinnie	68849220	34	#2462	
55	Karl DeAngelo	66662160	33	#98	
56	Mahesh Murthy	66620120	32	#1201	
57	Joe Scaletta	63985930	31	#1058	
58	Chris Tabaka	63256230	30	#3855	
59	Ed Zeltmann	63186020	29	#78	
60	Mahesh Murthy	62409380	28	#1652	
61	Joshua Henderson	62131730	27	#2860	
62	Sean J Grant	60825300	26	#1646	
63	Jon Replogle	60803420	25	#1667	
64	Al Thomka	57679870	24	#1852	
65	Karl DeAngelo	57141830	23	#2436	
66	Derek Fugate	56835810	22	#3957	
67	Andrew Rosa II	56829000	21	#3341	
68	Greg DeFeo	56622160	20	#2889	
69	Escher Lefkoff	56551770	19	#3003	
70	Greg Galanter	56153900	18	#1570	
71	Allan Vrooman	55812010	17	#1049	
72	Ed Zeltmann	54712850	16	#3862	
73	Steven Bowden	52850210	15	#784	
74	Francesco La Rocca	52743760	14	#4014	
75	Chris Tabaka	52734590	13	#2030	
76	Derek Fugate	52653590	12	#583	
77	Colin MacAlpine	52525060	11	#82	
78	Brian Shepherd	51377600	10	#1916	
79	Trent Augenstein	51145380	9	#3196	
80	Derek Fugate	49397790	8	#1064	
81	Fred Cochran	48597090	7	#1095	
82	Andrew Rosa II	46583290	6	#2355	
83	Jon Replogle	45594790	5	#1421	
84	Keith P Johnson	43432870	4	#1032	
85	Cayle George	43373840	3	#63	
86	Josh Sharpe	42551290	2	#3935	
87	Chris Tabaka	41085990	1	#2797	
88	Colin MacAlpine	40956660	0	#3046	
89	Richard Achterberg	40887880	0	#2165	
90	Sanjay Shah	40050660	0	#3952	
91	Kevin Birrell	39747400	0	#1041	
92	Joe Said	39177630	0	#4017	
93	Trent Augenstein	39134630	0	#393	
94	Fred Cochran	38134010	0	#1030	
95	Jeff Douglas	37881670	0	#3020	
96	Kevin Birrell	37813510	0	#21	
97	Brett Berkman	37468360	0	#778	
98	Sean J Grant	37062760	0	#1647	
99	David Riel	35946800	0	#1609	
100	Jim Belsito	35491510	0	#2276	
101	David Riel	35484000	0	#2338	
102	Greg Galanter	35288390	0	#3677	
103	Andrei Massenkoff	34122150	0	#1185	
104	Jon Replogle	34091510	0	#811	
105	Adam McKinnie	33288870	0	#1234	
106	Tim Tournay	33222630	0	#4102	
107	Kevin Birrell	32487070	0	#1226	
108	Adam McKinnie	32353370	0	#165	
109	Jon Replogle	31828540	0	#2343	
110	Robert Sovatsky	29878360	0	#1492	
111	Pete Hendricks	29591770	0	#399	
112	Brian Shepherd	29471600	0	#489	
113	Johnny Modica	28551680	0	#303	
114	Sanjay Shah	28474400	0	#86	
115	Steve Zahler	27697220	0	#4105	
116	Jon Ehrlich	27651580	0	#2450	
117	Jason Werdrick	27596280	0	#384	
118	Brett Berkman	27588200	0	#1325	
119	Joshua Henderson	27559280	0	#93	
120	Adam Lefkoff	26902680	0	#1883	
121	Koi Morris	26342630	0	#2374	
122	Salem Ayoob	26155800	0	#1054	
123	Brett Berkman	26098840	0	#2734	
124	Steve Zahler	25705960	0	#1966	
125	Greg Galanter	25418440	0	#3015	
126	Greg DeFeo	25357550	0	#1945	
127	Dan Woodske	24992800	0	#262	
128	Adam Becker	24936960	0	#2496	
129	Andrew Rosa II	24123630	0	#1872	
130	Jeff Douglas	23942350	0	#2078	
131	Sean J Grant	23464760	0	#189	
132	Fred Cochran	23219720	0	#1133	
133	Escher Lefkoff	22650520	0	#270	
134	Kevin Birrell	22558360	0	#1227	
135	Andy Rosa	22405990	0	#1868	
136	Greg Galanter	22399300	0	#555	
137	Mahesh Murthy	22305260	0	#4079	
138	Jason Werdrick	22229070	0	#1067	
139	joe  Schall	22200730	0	#3060	
140	Chris Basler	21953440	0	#437	
141	Brian Mendelssohn	21864060	0	#6	
142	Johnny Modica	21729820	0	#1162	
143	Andy Rosa	21463440	0	#3483	
144	Roy Wils	21441740	0	#1214	
