

Rank	Name	Score	Points	Entry #	
145	Dave Hegge	21297570	0	#1318	
146	Trent Augenstein	21247010	0	#3700	
147	Dave Hubbard	21030850	0	#3995	
148	Tim Tournay	20929990	0	#525	
149	Adam Lefkoff	20891830	0	#266	
150	Derek Fugate	20329540	0	#226	
151	Francesco La Rocca	20097050	0	#1671	
152	Tormod Pettersen	19766900	0	#102	
153	Dave Hubbard	19590640	0	#2087	
154	Zach Sharpe	19028500	0	#276	
155	Steven Bowden	18767400	0	#2723	
156	Dan Allen	18381450	0	#182	
157	James Daley	18243940	0	#1724	
158	Kevin Birrell	18056400	0	#1042	
159	Mahesh Murthy	18021270	0	#2625	
160	Joe Scaletta	18018440	0	#4071	
161	William Wulf	16797820	0	#799	
162	Kevin Nickel	16691890	0	#128	
163	Greg DeFeo	16584490	0	#3481	
164	Robert Sovatsky	16168700	0	#409	
165	Josh Sharpe	15999470	0	#92	
166	Francesco La Rocca	15792590	0	#22	
167	Greg DeFeo	15584150	0	#4116	
168	Jon Replogle	15151580	0	#1999	
169	Cayle George	15009730	0	#250	
170	Keith P Johnson	14656270	0	#1443	
171	Dan Woodske	14572550	0	#1405	
172	Zach Sharpe	14485200	0	#1598	
173	Tim Tournay	14184510	0	#1115	
174	Jon Replogle	13524420	0	#725	
175	Ed Zeltmann	12923340	0	#1126	
176	Karl DeAngelo	12722750	0	#1544	
177	John Bowes	12463070	0	#2894	
178	Jason Zahler	12375930	0	#3206	
179	Jon Replogle	12288620	0	#1795	
180	Chris Tabaka	12217470	0	#2344	
181	Greg Lonsway	12009280	0	#1251	
182	Maurice Pelletier	11830350	0	#1023	
183	Joshua Henderson	11627460	0	#1661	
184	Steven Bowden	11514730	0	#365	
185	Derek Fugate	11493550	0	#4088	
186	Joe Kosack	11340850	0	#15	
187	Salem Ayoob	10665800	0	#228	
188	Francesco La Rocca	10175950	0	#1158	
189	Greg DeFeo	10175350	0	#1662	
190	Robert Sagstetter	9985430	0	#94	
191	Richard Achterberg	9582610	0	#3396	
192	Mahesh Murthy	9544280	0	#761	
193	Ed Zeltmann	9142900	0	#2799	
194	Jon Ehrlich	8891820	0	#3445	
195	John Flitton	8700690	0	#908	
196	Steve Zahler	8549790	0	#1715	
197	Kevin Birrell	8415820	0	#2530	
198	Damien Charlety	8102130	0	#528	
199	Sinan Cengil	8083770	0	#95	
200	Ed Zeltmann	7888950	0	#3922	
201	David Dahl-Hansson	7801440	0	#26	
202	Ole Kristian Lien	7710800	0	#2953	
203	Debra Rymer	7447650	0	#1494	
204	David Riel	7436520	0	#43	
205	Tim Tournay	7434020	0	#524	
206	Brian Mendelssohn	7157950	0	#3613	
207	Francesco La Rocca	7077360	0	#3089	
208	David Dahl-Hansson	7033690	0	#2518	
209	Mahesh Murthy	7023790	0	#1084	
210	Brett Berkman	6865140	0	#2735	
211	Andrew Rosa II	6831590	0	#3740	
212	Kaite Martin	6798320	0	#2469	
213	Lindsey Rhoades	6753220	0	#3115	
214	Ed Zeltmann	6566060	0	#402	
215	James Daley	6380710	0	#1505	
216	Dan Allen	6258920	0	#2011	
217	Jason Werdrick	6153020	0	#1220	
218	Jon Ehrlich	6115390	0	#4082	
219	Brian Dye	5972200	0	#208	
220	Joshua Henderson	5888980	0	#1144	
221	Kevin Birrell	5851870	0	#2096	
222	Koi Morris	5756360	0	#4045	
223	Maurice Pelletier	5695070	0	#3265	
224	Escher Lefkoff	5630540	0	#30	
225	Joe Kosack	5472150	0	#1719	
226	Rob Thomas MD	5341460	0	#1240	
227	Brian Mendelssohn	5093320	0	#3365	
228	Brian Shepherd	4965570	0	#1302	
229	Rob Thomas MD	4817110	0	#1239	
230	Kevin Birrell	4791480	0	#853	
231	Greg Galanter	4723180	0	#148	
232	Cryss Stephens	4406530	0	#2	
233	Dave Hubbard	4389340	0	#2582	
234	Jon Replogle	4372390	0	#3076	
235	Brian Shepherd	4212470	0	#2585	
236	Brian Shepherd	3798930	0	#3778	
237	Allan Vrooman	3782140	0	#4104	
238	Al Thomka	3724970	0	#342	
239	Andy Rosa	3666790	0	#1869	
240	Koi Morris	3343480	0	#2775	
241	David Riel	3276260	0	#381	
242	Jason Zahler	3258240	0	#511	
243	Pete Hendricks	3131340	0	#3981	
244	Mahesh Murthy	2421450	0	#2680	
245	Fred Cochran	2367090	0	#1696	
