

Rank	Name	Score	Points	Entry #	
52	Andrew Rosa II	841638480	36	#3341	
53	Adam Lefkoff	831953210	35	#267	
54	David Riel	817117020	34	#2338	
55	Mike Pantino	817048920	33	#3024	
56	Koi Morris	808317670	32	#29	
57	Greg DeFeo	786276520	31	#2478	
58	Dave Stewart	784792620	30	#2406	
59	Chris Tabaka	764038380	29	#3855	
60	John Flitton	750433470	28	#907	
61	Francesco La Rocca	744661770	27	#3089	
62	Sean J Grant	744528200	26	#1647	
63	Kevin Birrell	743593450	25	#3798	
64	Steven Bowden	739423310	24	#2723	
65	Zach Sharpe	724333450	23	#668	
66	Kevin Birrell	721446410	22	#2589	
67	Steve Zahler	713399890	21	#1213	
68	Joshua Henderson	712417020	20	#2287	
69	Keith Elwin	702452900	19	#560	
70	Kevin Birrell	694951690	18	#1042	
71	Lyman Sheats	692767070	17	#201	
72	Steven Bowden	691385270	16	#3822	
73	Jon Ehrlich	690452570	15	#2450	
74	Andrew Rosa II	686823190	14	#1872	
75	Ole Kristian Lien	686797400	13	#2952	
76	Tim Tournay	675882400	12	#524	
77	Jason Zahler	670244180	11	#1865	
78	Allan Vrooman	666404520	10	#4104	
79	Keith P Johnson	659852830	9	#314	
80	Greg DeFeo	648434540	8	#4116	
81	Francesco La Rocca	645027760	7	#22	
82	Lyman Sheats	641966790	6	#3657	
83	Maurice Pelletier	638807670	5	#3413	
84	Sanjay Shah	635523600	4	#3952	
85	Josh Sharpe	629776740	3	#1359	
86	Trent Augenstein	628042870	2	#392	
87	Nick Zendejas	623193700	1	#406	
88	Andrew Rosa II	622888600	0	#3740	
89	Kevin Birrell	619646280	0	#2530	
90	Josh Sharpe	619486840	0	#2278	
91	Jason Zahler	618969540	0	#3206	
92	Brian Dye	617259270	0	#1179	
93	Joe Scaletta	616374490	0	#626	
94	Josh Sharpe	613542560	0	#279	
95	Jerry Bernard	607683170	0	#350	
96	Kevin Birrell	604526420	0	#1227	
97	Damien Charlety	597009450	0	#528	
98	Joshua Henderson	590288950	0	#93	
99	Greg DeFeo	589807150	0	#2889	
100	Joe Scaletta	588771170	0	#157	
101	Sean J Grant	587625890	0	#1123	
102	Josh Sharpe	585835950	0	#3779	
103	Brian Shepherd	576251050	0	#1916	
104	Robert Wong	570093990	0	#396	
105	Adam McKinnie	564450950	0	#165	
106	Escher Lefkoff	559976430	0	#3003	
107	Kevin Birrell	556194740	0	#2426	
108	Greg DeFeo	546212760	0	#2332	
109	Cryss Stephens	536647390	0	#876	
110	Steven Bowden	531338420	0	#365	
111	Zach Sharpe	527949600	0	#2280	
112	Roy Wils	525689830	0	#800	
113	Salem Ayoob	524217990	0	#228	
114	Francesco La Rocca	522967530	0	#3088	
115	Francesco La Rocca	522485460	0	#1671	
116	Jeff Douglas	521103440	0	#2078	
117	Jason Zahler	515661260	0	#3207	
118	Kevin Birrell	511469590	0	#1226	
119	Greg Galanter	510230180	0	#1570	
120	Maurice Pelletier	507476770	0	#1791	
121	Jon Replogle	494407800	0	#271	
122	Cryss Stephens	491070870	0	#2	
123	Maurice Pelletier	480968050	0	#1187	
124	Adam Becker	478024000	0	#3748	
125	Andy Rosa	474636470	0	#2211	
126	Brian Shepherd	471231160	0	#490	
127	Jason Werdrick	462777810	0	#1220	
128	Sean J Grant	461576170	0	#1646	
129	Greg DeFeo	459909500	0	#1197	
130	Chris Tabaka	459493270	0	#2344	
131	Steve Zahler	459322210	0	#500	
132	Jason Werdrick	459169360	0	#2549	
133	Adam Lefkoff	457964000	0	#3769	
134	Brian Shepherd	449824880	0	#3551	
135	Joe Scaletta	449646310	0	#3593	
136	Brian Dye	441071230	0	#2949	
137	Adam Becker	440251620	0	#2067	
138	Jon Replogle	433381660	0	#1071	
139	Debra Rymer	431896690	0	#1493	
140	Johnny Modica	431475910	0	#1687	
141	Josh Sharpe	430528920	0	#2279	
142	Karl DeAngelo	428184720	0	#2142	
143	Josh Sharpe	423202930	0	#2907	
144	Escher Lefkoff	419609850	0	#30	
145	Joshua Henderson	417834470	0	#1661	
146	Christopher Meyers	409023980	0	#379	
147	Brian Mendelssohn	405025700	0	#3365	
148	David Riel	405015070	0	#887	
149	Pete Hendricks	404098660	0	#399	
150	Richard Wickersham	400651430	0	#3117	
151	Dave Hubbard	400126510	0	#2087	
152	Jon Replogle	394556450	0	#1667	
153	Cayle George	383523790	0	#632	
154	Kevin Birrell	373183350	0	#1755	
155	Robert Wong	371640740	0	#947	
156	Dave Stewart	364489380	0	#1578	
157	Jason Werdrick	364052680	0	#1067	
158	Greg DeFeo	362057890	0	#2377	
159	Greg Lonsway	358560140	0	#1251	
160	Jon Ehrlich	354884170	0	#3445	
161	Maurice Pelletier	350071080	0	#2622	
162	Jon Replogle	346240510	0	#1998	
163	Derek Fugate	341283960	0	#583	
164	Joe Scaletta	332627700	0	#1059	
165	Cryss Stephens	331996530	0	#1833	
166	Karl DeAngelo	329518530	0	#2436	
167	Greg Galanter	327601050	0	#148	
168	Lindsey Rhoades	325184330	0	#3115	
169	Kevin Nickel	317126330	0	#128	
170	Adam McKinnie	315578990	0	#412	
171	Debra Rymer	309487500	0	#415	
172	Brian Dye	307709130	0	#208	
173	Maurice Pelletier	307698580	0	#1188	
174	Howard Levine	306723540	0	#2970	
175	Lyman Sheats	305496060	0	#843	
176	James Daley	304225350	0	#1827	
177	Steve Zahler	300345510	0	#2351	
178	Justin Bath	299351740	0	#2961	
179	Joe Kosack	297305360	0	#15	
180	Tormod Pettersen	297239980	0	#1550	
181	Cayle George	290022800	0	#3360	
182	Dan Woodske	288967570	0	#262	
183	Jon Replogle	285194730	0	#1421	
184	Francesco La Rocca	283492080	0	#4014	
185	Ronny Hansen	281578790	0	#457	
186	Robert Sagstetter	281172370	0	#94	
187	Jon Replogle	280242050	0	#1999	
188	Pete Hendricks	274980520	0	#1116	
189	Tim Tournay	271492540	0	#1115	
190	Mahesh Murthy	270546760	0	#2680	
191	Greg DeFeo	262019590	0	#58	
192	Ed Zeltmann	261576410	0	#1379	
193	David Dahl-Hansson	261160740	0	#2518	
194	Johnny Modica	260166600	0	#793	
195	Damien Charlety	258567570	0	#1194	
196	Sinan Cengil	257867660	0	#95	
197	Dave Hegge	244462730	0	#2959	
198	John Bowes	242490700	0	#2894	
199	Maurice Pelletier	241848200	0	#1022	
200	David Riel	236860440	0	#2608	
201	Greg Galanter	235463010	0	#3677	
202	Chris Tabaka	230803860	0	#2797	
203	Robert Sovatsky	226320740	0	#1492	
204	Kevin Birrell	224455410	0	#853	
205	Brian Shepherd	223850780	0	#2586	
206	Kaite Martin	222714030	0	#2469	
207	Koi Morris	217694050	0	#2375	
208	Dan Woodske	212199170	0	#1405	
209	Ed Zeltmann	210355900	0	#1378	
210	Bob S Johnson	209719930	0	#3979	
211	Tormod Pettersen	208016830	0	#1549	
212	Fred Cochran	201989400	0	#1133	
213	Brett Berkman	200748680	0	#1325	
214	Allan Vrooman	200488630	0	#1049	
215	Greg Galanter	198887570	0	#555	
216	James Daley	197083210	0	#1724	
217	Jeff Douglas	195696880	0	#3020	
218	Tim Tournay	194956070	0	#525	
219	Tormod Pettersen	194881980	0	#102	
220	Frank Romero	193752850	0	#1396	
221	Brian Teyssier	191457250	0	#3	
222	Adam Lefkoff	191124240	0	#1884	
223	Al Thomka	189450280	0	#2591	
224	Jon Replogle	188039590	0	#1795	
225	Adam Becker	184196150	0	#2656	
226	Derek Fugate	181810980	0	#584	
227	Tim Tournay	180408750	0	#1114	
228	Robert Sovatsky	180386550	0	#1489	
229	Howard Levine	180341180	0	#40	
230	Howard Levine	177632730	0	#3544	
231	Ole Kristian Lien	176185780	0	#2953	
232	Cayle George	170384070	0	#63	
233	Brian Dye	166562640	0	#3885	
234	Dave Stewart	162933430	0	#131	
235	Robert Sovatsky	162685280	0	#409	
236	Mike Pantino	161327080	0	#3025	
237	Tim Tournay	160738800	0	#2081	
238	Steve Zahler	157155530	0	#1714	
239	Sean J Grant	153891670	0	#3128	
240	Maurice Pelletier	151410490	0	#3760	
241	Keith Elwin	150022040	0	#1936	
242	Joe Kosack	145727850	0	#2335	
243	Greg Galanter	145218360	0	#556	
244	Sean J Grant	135772800	0	#3663	
245	Cryss Stephens	134703290	0	#1834	
246	Frank Romero	134633470	0	#333	
247	Greg DeFeo	133584790	0	#2376	
248	Mahesh Murthy	133170840	0	#4079	
249	Brian Mendelssohn	130859910	0	#3613	
250	Steve Zahler	127900700	0	#3542	
251	Angela Drobka	127152430	0	#3053	
252	Cayle George	125832570	0	#1027	
253	Steve Zahler	123295850	0	#4105	
254	Christopher Meyers	121279790	0	#380	
255	David Dahl-Hansson	119505760	0	#26	
256	Maurice Pelletier	115745790	0	#2679	
257	Salem Ayoob	111696150	0	#1054	
258	Adam Becker	105491260	0	#1787	
259	Sean J Grant	95065100	0	#3521	
260	Bowen Kerins	90790990	0	#3519	
261	Karyn Kiser	85870770	0	#3067	
262	Ed Zeltmann	73633700	0	#78	
263	Adam Becker	54670140	0	#2068	
264	Greg Galanter	30324790	0	#3816	
