

Rank	Name	Score	Points	Entry #	

1	Nick Zendejas	3335571450	100	#2455	
2	Andrei Massenkoff	3007641670	90	#1934	
3	Lyman Sheats	2347237490	85	#3306	
4	Zach Sharpe	2226894700	84	#1598	
5	Adam Becker	2036103890	83	#2495	
6	Trent Augenstein	1939583030	82	#3196	
7	Trent Augenstein	1886747620	81	#3700	
8	Adam Becker	1860378950	80	#1140	
9	Steve Zahler	1820088760	79	#1966	
10	Cayle George	1793681950	78	#1135	
11	Dave Stewart	1757903350	77	#925	
12	Josh Sharpe	1570839300	76	#3982	
13	Kevin Birrell	1464459890	75	#2096	
14	Steven Bowden	1449221290	74	#784	
15	Jeff Douglas	1418254290	73	#2079	
16	Maurice Pelletier	1356616250	72	#1221	
17	Adam Lefkoff	1345387300	71	#1883	
18	Greg DeFeo	1339571880	70	#3481	
19	Cayle George	1288126260	69	#1778	
20	Andrew Rosa II	1274649290	68	#3994	
21	Cryss Stephens	1256689990	67	#2577	
22	Cayle George	1246528100	66	#1028	
23	Sanjay Shah	1222723570	65	#2402	
24	Andrew Rosa II	1195620620	64	#1873	
25	Damien Charlety	1186840360	63	#1928	
26	Andrei Massenkoff	1185014160	62	#2523	
27	Adam Lefkoff	1163928210	61	#31	
28	Kevin Birrell	1146882940	60	#1041	
29	Greg DeFeo	1100185200	59	#3850	
30	Al Thomka	1098196238	58	#1852	
31	Jason Zahler	1097541590	57	#511	
32	Jon Replogle	1075949660	56	#811	
33	Andrew Rosa II	1047651440	55	#2355	
34	Bowen Kerins	1033666760	54	#587	
35	Al Thomka	1005958160	53	#886	
36	Pete Hendricks	1003915660	52	#1526	
37	Sean J Grant	984436850	51	#189	
38	Allan Vrooman	981443690	50	#1048	
39	Fred Cochran	981325220	49	#3124	
40	Tim Tournay	954571660	48	#4102	
41	Greg DeFeo	951693300	47	#563	
42	Dave Stewart	937241260	46	#2631	
43	Al Thomka	910913410	45	#45	
44	Jon Ehrlich	902867140	44	#4082	
45	Joshua Henderson	900425020	43	#2286	
46	Sanjay Shah	891762480	42	#86	
47	Joshua Henderson	880248770	41	#1144	
48	Chris Basler	879224130	40	#437	
49	Dave Stewart	856963850	39	#1843	
50	Jim Belsito	850933790	38	#477	
51	Escher Lefkoff	846847150	37	#672	
