

Rank	Name	Score	Points	Entry #	

1	Dave Hegge	11432900	100	#2959	
2	Adam Lefkoff	10853090	90	#266	
3	Bowen Kerins	9285110	85	#586	
4	Maurice Pelletier	9204080	84	#2622	
5	Adam Becker	9171320	83	#1140	
6	Jason Werdrick	8509190	82	#2549	
7	Trent Augenstein	8432430	81	#2611	
8	Frank Romero	8367300	80	#333	
9	Lyman Sheats	8193340	79	#3657	
10	Fred Cochran	8123210	78	#1696	
11	Jon Replogle	7779910	77	#1999	
12	Maurice Pelletier	7708110	76	#3413	
13	Keith Elwin	7685300	75	#2176	
14	Cryss Stephens	7532860	74	#2577	
15	Keith Elwin	7449650	73	#1936	
16	Brian Shepherd	7271210	72	#489	
17	Joshua Henderson	7214780	71	#2287	
18	Salem Ayoob	6843800	70	#1054	
19	Keith Elwin	6631150	69	#560	
20	John Flitton	6629720	68	#2657	
21	Jon Replogle	6324530	67	#2421	
22	Andrew Rosa II	6121360	66	#3740	
23	Keith P Johnson	6037970	65	#314	
24	David Riel	6032280	64	#43	
25	Josh Sharpe	6026780	63	#92	
26	Brian Shepherd	5925300	62	#4086	
27	Maurice Pelletier	5903730	61	#2679	
28	Zach Sharpe	5831270	60	#276	
29	Greg DeFeo	5534390	59	#1197	
30	Jon Replogle	5472190	58	#3076	
31	Trent Augenstein	5464200	57	#3700	
32	Josh Sharpe	5229620	56	#2907	
33	Adam Lefkoff	5177760	55	#267	
34	Adam Becker	5104850	54	#2495	
35	Escher Lefkoff	5053330	53	#672	
36	John Flitton	5033530	52	#907	
37	Greg DeFeo	4867340	51	#4116	
38	Maurice Pelletier	4709650	50	#3412	
39	Steve Zahler	4631380	49	#1213	
40	Andrew Rosa II	4612920	48	#3994	
41	Andrei Massenkoff	4572000	47	#766	
42	Lyman Sheats	4517400	46	#201	
43	Adam McKinnie	4400950	45	#412	
44	Escher Lefkoff	4373170	44	#3003	
45	Jon Replogle	4358660	43	#2138	
46	Jon Replogle	4348200	42	#3909	
47	Justin Bath	4333630	41	#3578	
48	Roy Wils	4168530	40	#1021	
49	Cryss Stephens	4092600	39	#876	
50	Josh Sharpe	4088440	38	#2279	
51	Brian Shepherd	3987670	37	#3551	
52	Maurice Pelletier	3985510	36	#3972	
53	Frank Romero	3960870	35	#1395	
54	Al Thomka	3957160	34	#1852	
55	Steve Zahler	3926130	33	#1966	
56	Jason Werdrick	3894320	32	#1067	
57	Josh Sharpe	3868980	31	#3982	
58	Andy Rosa	3865260	30	#2616	
59	Cayle George	3857500	29	#631	
60	Salem Ayoob	3834060	28	#228	
61	Greg Galanter	3796920	27	#555	
62	Joe Kosack	3729210	26	#15	
63	Brian Dye	3683590	25	#2949	
64	Fred Cochran	3674730	24	#3124	
65	Tormod Pettersen	3653570	23	#3711	
66	Dan Allen	3636190	22	#182	
67	Ed Zeltmann	3620410	21	#3673	
68	Joe Scaletta	3591900	20	#626	
69	Adam Becker	3582410	19	#2656	
70	Fred Cochran	3509240	18	#1030	
71	Joshua Henderson	3402320	17	#1660	
72	Dave Hegge	3372000	16	#1318	
73	Mahesh Murthy	3354830	15	#1651	
74	Bowen Kerins	3321370	14	#3519	
75	Jason Werdrick	3252600	13	#3022	
76	Andrei Massenkoff	3244090	12	#2313	
77	Brian Dye	3239870	11	#208	
78	Maurice Pelletier	3238970	10	#4111	
79	Allan Vrooman	3182280	9	#4104	
80	Cryss Stephens	3156380	8	#1833	
81	Al Thomka	3139350	7	#45	
82	Fred Cochran	3058190	6	#1095	
83	John Flitton	3043730	5	#4010	
84	Steve Zahler	2975880	4	#1715	
85	Jason Werdrick	2959640	3	#1850	
86	Mahesh Murthy	2917290	2	#2625	
87	Al Thomka	2914110	1	#886	
88	Rob Thomas MD	2674990	0	#1984	
89	Brian Dye	2593290	0	#1179	
90	Nick Jaquay	2576470	0	#861	
91	Brian Shepherd	2540560	0	#3778	
92	David Riel	2527830	0	#1609	
93	Joe Scaletta	2463260	0	#1059	
94	Trent Augenstein	2434900	0	#3196	
95	Jon Replogle	2393540	0	#2343	
96	Dave Hubbard	2332320	0	#3995	
97	Kevin Birrell	2318930	0	#21	
98	Josh Sharpe	2278000	0	#1360	
99	David Riel	2245790	0	#2608	
100	Ed Zeltmann	2225980	0	#3862	
101	Jon Replogle	2131460	0	#3436	
102	Kevin Nickel	2112510	0	#987	
103	Maurice Pelletier	2079390	0	#2132	
104	Jon Replogle	2048520	0	#1795	
105	Andrei Massenkoff	2027060	0	#1185	
106	Tim Tournay	1983590	0	#1115	
107	Greg DeFeo	1980800	0	#1945	
108	Roy Wils	1938110	0	#1068	
