

Rank	Name	Score	Points	Entry #	
109	Jim Belsito	1926210	0	#477	
110	Jeff Douglas	1869800	0	#3020	
111	Jim Belsito	1851010	0	#145	
112	Andy Rosa	1850610	0	#1868	
113	Joe Kosack	1820700	0	#1719	
114	Bob S Johnson	1808490	0	#2298	
115	Brian Teyssier	1782600	0	#3	
116	Maurice Pelletier	1774180	0	#1791	
117	Lyman Sheats	1768110	0	#3306	
118	Maurice Pelletier	1767650	0	#3265	
119	Andrew Rosa II	1742200	0	#1872	
120	Allan Vrooman	1723520	0	#1048	
121	Damien Charlety	1683260	0	#52	
122	Damien Charlety	1636080	0	#1928	
123	David Riel	1612580	0	#3643	
124	Josh Sharpe	1612440	0	#3282	
125	Greg Galanter	1580050	0	#556	
126	Josh Sharpe	1577830	0	#2278	
127	Jon Replogle	1555650	0	#271	
128	Koi Morris	1554400	0	#4045	
129	Tim Tournay	1540220	0	#1114	
130	Mahesh Murthy	1465390	0	#2680	
131	David Riel	1456000	0	#2337	
132	Greg DeFeo	1454060	0	#3481	
133	Tormod Pettersen	1445160	0	#965	
134	Jason Zahler	1420540	0	#1865	
135	Johnny Modica	1412020	0	#793	
136	Brian Dye	1409020	0	#3885	
137	Steven Bowden	1407680	0	#2025	
138	Steve Zahler	1403420	0	#1714	
139	Ed Zeltmann	1394430	0	#402	
140	Maurice Pelletier	1388790	0	#3266	
141	Maurice Pelletier	1374610	0	#3760	
142	Greg Lonsway	1365600	0	#1251	
143	Joshua Henderson	1349650	0	#3255	
144	Karl DeAngelo	1341150	0	#2436	
145	Jerry Bernard	1335190	0	#80	
146	Tormod Pettersen	1332120	0	#1550	
147	Joshua Henderson	1330610	0	#2859	
148	Jon Replogle	1307100	0	#725	
149	Richard Achterberg	1302790	0	#2165	
150	Adam Lefkoff	1302650	0	#1883	
151	Zach Sharpe	1286680	0	#669	
152	Cayle George	1262770	0	#250	
153	Bowen Kerins	1256600	0	#587	
154	Tormod Pettersen	1247980	0	#1549	
155	Howard Levine	1239400	0	#3544	
156	Maurice Pelletier	1230660	0	#1187	
157	Francesco La Rocca	1212460	0	#1158	
158	Koi Morris	1207580	0	#2375	
159	Koi Morris	1201920	0	#29	
160	Greg DeFeo	1166920	0	#1662	
161	Joe Said	1151750	0	#4017	
162	Nick Zendejas	1134440	0	#406	
163	Trent Augenstein	1107770	0	#393	
164	Greg DeFeo	1097560	0	#2376	
165	Ed Zeltmann	1065910	0	#1378	
166	Steven Bowden	1052040	0	#2026	
167	Brett Berkman	1045580	0	#778	
168	Greg DeFeo	1036410	0	#563	
169	Rob Thomas MD	1019560	0	#1240	
170	Zach Sharpe	986860	0	#91	
171	Mahesh Murthy	981200	0	#4079	
172	Allan Vrooman	971290	0	#1049	
173	Tim Tournay	961720	0	#524	
174	Cryss Stephens	961680	0	#2	
175	Tim Tournay	933010	0	#525	
176	Joe Scaletta	899020	0	#3338	
177	Greg Galanter	880660	0	#3676	
178	Al Thomka	874530	0	#2591	
179	David Riel	856180	0	#887	
180	Francesco La Rocca	850610	0	#4014	
181	David Riel	821530	0	#888	
182	Tim Tournay	807000	0	#2081	
183	Maurice Pelletier	796030	0	#1188	
184	Mahesh Murthy	784480	0	#1652	
185	Greg DeFeo	774070	0	#2478	
186	Christopher Meyers	754680	0	#379	
187	Adam McKinnie	742450	0	#1234	
188	Christopher Meyers	735070	0	#380	
189	Mahesh Murthy	720420	0	#3430	
190	Adam Becker	714190	0	#2067	
191	Lyman Sheats	702220	0	#843	
192	Zach Sharpe	697760	0	#668	
193	Tim Tournay	697010	0	#4102	
194	Dave Hubbard	672140	0	#127	
195	Frank Romero	665350	0	#332	
196	Greg DeFeo	655930	0	#3850	
197	Andrei Massenkoff	645730	0	#2524	
198	Greg DeFeo	625550	0	#310	
199	Rob Thomas MD	593430	0	#1985	
200	Damien Charlety	580280	0	#1194	
201	Jason Werdrick	570780	0	#384	
202	Karl DeAngelo	566150	0	#98	
203	Maurice Pelletier	559790	0	#2502	
204	Roy Wils	555680	0	#1214	
205	David Riel	538330	0	#2338	
206	Rob Thomas MD	503420	0	#1239	
207	Robert Sovatsky	489130	0	#409	
208	Andy Rosa	484020	0	#3483	
209	Justin Bath	480590	0	#2390	
210	Jason Werdrick	477270	0	#2227	
211	Roy Wils	458330	0	#1181	
212	Howard Levine	451690	0	#40	
213	Koi Morris	412170	0	#2775	
214	David Riel	397880	0	#2607	
215	William Wulf	395800	0	#799	
216	Greg DeFeo	373240	0	#2332	
217	Maurice Pelletier	371030	0	#1221	
218	Maurice Pelletier	368030	0	#1022	
219	Andrei Massenkoff	357090	0	#1934	
220	Steven Bowden	348280	0	#785	
221	Brian Mendelssohn	339300	0	#3613	
222	Francesco La Rocca	331110	0	#22	
223	Fred Cochran	296150	0	#1133	
224	Greg DeFeo	270480	0	#2377	
225	Greg Galanter	246040	0	#1570	
226	Richard Achterberg	214790	0	#3396	
227	Escher Lefkoff	213510	0	#30	
228	Andy Rosa	187480	0	#1869	
229	Ole Kristian Lien	160970	0	#2952	
230	Roy Wils	114680	0	#2000	
