

Rank	Name	Score	Points	Entry #	
119	Howard Levine	28384	0	#40	
120	David Riel	28032	0	#1609	
121	Maurice Pelletier	27540	0	#3972	
122	Ed Zeltmann	27513	0	#1379	
123	Ed Zeltmann	27484	0	#2799	
124	Rob Thomas MD	27184	0	#1984	
125	Rob Thomas MD	27040	0	#1240	
126	Chris Tabaka	26983	0	#2797	
127	Chris Tabaka	26886	0	#2030	
128	Ed Zeltmann	26854	0	#3922	
129	Dave Stewart	26538	0	#2406	
130	Al Thomka	26352	0	#342	
131	Joe Scaletta	25590	0	#3593	
132	Robert Sovatsky	24749	0	#1489	
133	Francesco La Rocca	24456	0	#1158	
134	Joshua Henderson	24322	0	#3707	
135	Robert Sagstetter	24169	0	#94	
136	Joshua Henderson	24164	0	#2859	
137	Joe Scaletta	24132	0	#1058	
138	Adam Becker	24016	0	#2067	
139	Keith P Johnson	23989	0	#126	
140	Steven Bowden	23987	0	#2026	
141	Derek Fugate	23807	0	#4088	
142	Brett Berkman	23797	0	#778	
143	Ed Zeltmann	22891	0	#3673	
144	Johnny Modica	22790	0	#1161	
145	Pete Hendricks	22541	0	#3981	
146	James Daley	21873	0	#1724	
147	Jeff Douglas	20738	0	#3020	
148	Kevin Birrell	20297	0	#1041	
149	Brett Berkman	20275	0	#2734	
150	Adam Becker	20181	0	#2495	
151	Francesco La Rocca	19625	0	#1671	
152	Escher Lefkoff	19248	0	#672	
153	Derek Fugate	19167	0	#1064	
154	David Dahl-Hansson	19017	0	#2518	
155	Dan Woodske	18923	0	#1405	
156	Maurice Pelletier	18500	0	#1022	
157	Fred Cochran	18425	0	#1095	
158	Francesco La Rocca	18357	0	#3088	
159	Brett Berkman	18150	0	#2735	
160	Zach Sharpe	17722	0	#3804	
161	Escher Lefkoff	16139	0	#270	
162	William Wulf	15881	0	#799	
163	Ronny Hansen	15731	0	#457	
164	Sinan Cengil	15309	0	#95	
165	Andrei Massenkoff	15050	0	#2313	
166	Mahesh Murthy	14614	0	#1651	
167	Brian Shepherd	14608	0	#2246	
168	Maurice Pelletier	14589	0	#3266	
169	John Bowes	14354	0	#2894	
170	Pete Hendricks	14178	0	#398	
171	Al Thomka	14130	0	#2591	
172	Ole Kristian Lien	14006	0	#2952	
173	Kaite Martin	13917	0	#2469	
174	Brian Shepherd	13862	0	#490	
175	Dan Allen	13474	0	#2011	
176	Al Thomka	13259	0	#1853	
177	Karyn Kiser	13012	0	#3067	
178	joe  Schall	12875	0	#3060	
179	Jon Replogle	12458	0	#725	
180	Karl DeAngelo	12300	0	#2436	
181	Debra Rymer	12105	0	#415	
182	Joe Said	11869	0	#4017	
183	Bob S Johnson	11661	0	#3979	
184	Richard Wickersham	11616	0	#3117	
185	Koi Morris	11569	0	#2374	
186	Andrew Rosa II	11429	0	#3994	
187	Frank Romero	10661	0	#333	
188	Greg Galanter	10599	0	#3677	
189	Johnny Modica	10418	0	#303	
190	Greg DeFeo	10316	0	#2889	
191	Kevin Nickel	10086	0	#987	
192	Dave Hubbard	10065	0	#2634	
193	Kevin Birrell	9840	0	#2589	
194	Rob Thomas MD	9783	0	#1239	
195	Kevin Birrell	9230	0	#1226	
196	Howard Levine	9176	0	#3544	
196	Karl DeAngelo	9176	0	#98	
198	Nick Zendejas	8897	0	#17	
199	Jon Ehrlich	8599	0	#4082	
200	Chris Tabaka	8245	0	#680	
201	David Riel	8137	0	#2607	
202	Robert Wong	8026	0	#396	
203	Frank Romero	7748	0	#332	
204	Damien Charlety	7704	0	#528	
205	Karl DeAngelo	7655	0	#1544	
206	Damien Charlety	7263	0	#1193	
207	Adam McKinnie	6734	0	#165	
208	Josh Sharpe	3421	0	#294	
209	David Dahl-Hansson	2222	0	#26	
210	Brett Berkman	1530	0	#1601	
