

Rank	Name	Score	Points	Entry #	

1	Jon Replogle	99573860	100	#1071	
2	Lyman Sheats	92933540	90	#843	
3	Brian Shepherd	86217210	85	#2585	
4	Josh Sharpe	82319560	84	#3982	
5	Chris Tabaka	81593980	83	#2797	
6	Karl DeAngelo	81471650	82	#3808	
7	Karl DeAngelo	76595210	81	#1544	
8	Nick Zendejas	76390270	80	#3448	
9	Colin MacAlpine	72400190	79	#82	
10	Adam Becker	72024050	78	#2496	
11	Johnny Modica	65840950	77	#1162	
12	Zach Sharpe	64886320	76	#2280	
13	Greg Galanter	63303750	75	#3015	
14	Greg Galanter	58714630	74	#556	
15	Joshua Henderson	58537860	73	#1144	
16	Zach Sharpe	57005370	72	#669	
17	Jason Zahler	56898550	71	#3207	
18	Roy Wils	56593290	70	#1068	
19	Adam Lefkoff	56237960	69	#3769	
20	Trent Augenstein	52278080	68	#3700	
21	Howard Levine	52094710	67	#3544	
22	Jason Werdrick	51554250	66	#3022	
23	Derek Fugate	51548630	65	#583	
24	Damien Charlety	50781320	64	#1928	
25	Justin Bath	50074130	63	#2961	
26	Trent Augenstein	50057270	62	#3196	
27	Adam Lefkoff	48935890	61	#266	
28	Cayle George	47876280	60	#3360	
29	Greg Galanter	47752540	59	#3816	
30	Josh Sharpe	46660950	58	#1359	
31	Joshua Henderson	45901150	57	#1661	
32	Kevin Birrell	45702110	56	#2096	
33	Jon Replogle	44950360	55	#1667	
34	Brian Shepherd	44868240	54	#3778	
35	Al Thomka	44780590	53	#45	
36	Salem Ayoob	43962710	52	#1054	
37	Andrei Massenkoff	43622200	51	#1185	
38	Jason Werdrick	43038590	50	#1067	
39	Colin MacAlpine	42865150	49	#3046	
40	Greg Galanter	42760740	48	#3676	
41	Jon Replogle	42493340	47	#3909	
42	Adam Lefkoff	40611760	46	#31	
43	Andrei Massenkoff	40422990	45	#2524	
44	Jason Zahler	40186080	44	#3206	
45	Dave Stewart	39638780	43	#2406	
46	Josh Sharpe	39553120	42	#2279	
47	Joshua Henderson	39099220	41	#3707	
48	Jon Replogle	37412170	40	#1999	
49	Josh Sharpe	37279750	39	#1360	
50	Robert Wong	37011610	38	#947	
51	Derek Fugate	36558780	37	#1064	
52	Dave Hegge	36301040	36	#2959	
53	Cryss Stephens	36185170	35	#876	
54	David Dahl-Hansson	36121830	34	#2518	
55	Ed Zeltmann	34651000	33	#1126	
56	Francesco La Rocca	34588340	32	#3088	
57	Dan Allen	33433070	31	#182	
58	Jon Replogle	33147000	30	#271	
59	Brian Shepherd	32959540	29	#1916	
60	Tim Tournay	32595580	28	#1115	
61	Jon Ehrlich	32503210	27	#4082	
62	Dave Hubbard	32127260	26	#127	
63	Pete Hendricks	30396080	25	#1526	
64	Steven Bowden	29582420	24	#3822	
65	Greg DeFeo	29340620	23	#563	
66	David Dahl-Hansson	29232760	22	#26	
67	Adam Lefkoff	28765840	21	#1883	
68	Mahesh Murthy	28461320	20	#4079	
69	Sanjay Shah	27952250	19	#3952	
70	Damien Charlety	27348370	18	#52	
71	David Riel	27045270	17	#43	
72	Jon Replogle	26918190	16	#3436	
73	Jason Werdrick	26385920	15	#1850	
74	Tormod Pettersen	26344730	14	#3711	
75	David Riel	26337380	13	#2338	
76	Mahesh Murthy	26154590	12	#1652	
77	Pete Hendricks	26148960	11	#398	
78	Adam McKinnie	26011170	10	#2462	
79	Damien Charlety	25502150	9	#1194	
80	Chris Tabaka	24819100	8	#2030	
81	Chris Tabaka	24479380	7	#2344	
82	Escher Lefkoff	24376080	6	#672	
83	Jon Ehrlich	24281960	5	#3445	
84	Zach Sharpe	23564220	4	#276	
85	Brian Mendelssohn	23204060	3	#3365	
86	Joshua Henderson	23089850	2	#3255	
87	Cayle George	23058040	1	#1135	
88	Cayle George	22857330	0	#1027	
89	Tim Tournay	22537810	0	#2081	
90	Pete Hendricks	22428550	0	#399	
91	Josh Sharpe	22031900	0	#2907	
92	Kevin Nickel	22001960	0	#128	
93	Karl DeAngelo	21888360	0	#2141	
94	Brian Shepherd	21729510	0	#3551	
95	Johnny Modica	21049070	0	#1687	
96	Dave Hegge	20998620	0	#1318	
97	Jon Replogle	20800380	0	#1795	
98	Jason Werdrick	20283340	0	#2227	
99	Steven Bowden	20280630	0	#784	
100	Debra Rymer	19909400	0	#1494	
101	Joe Scaletta	19578970	0	#3142	
102	Ole Kristian Lien	19344520	0	#2952	
103	Nick Zendejas	19305480	0	#717	
104	Dave Stewart	19045950	0	#1843	
105	Josh Sharpe	19041880	0	#3935	
106	Al Thomka	18973950	0	#2591	
107	Jim Belsito	18969620	0	#145	
108	Steve Zahler	18752410	0	#500	
109	Chris Tabaka	18715880	0	#3855	
110	Koi Morris	18494770	0	#2374	
111	Pete Hendricks	18146960	0	#3981	
112	Brian Shepherd	17688880	0	#2586	
113	Justin Bath	17523660	0	#2390	
114	Andrei Massenkoff	17112050	0	#766	
115	Brian Shepherd	16598910	0	#2247	
116	Josh Sharpe	16005150	0	#3779	
117	Roy Wils	15988370	0	#2000	
118	Tormod Pettersen	15933150	0	#1550	
119	Joshua Henderson	15823640	0	#93	
120	Steven Bowden	14973040	0	#365	
121	Derek Fugate	14689080	0	#226	
122	Howard Levine	14210050	0	#40	
123	Kevin Birrell	14080260	0	#1042	
124	Tim Tournay	13924270	0	#525	
125	Brett Berkman	13831900	0	#2734	
126	Ole Kristian Lien	13759340	0	#2953	
127	Tim Tournay	13698760	0	#1114	
128	Cayle George	13598840	0	#1028	
129	Adam McKinnie	13572860	0	#1234	
130	Dave Stewart	13306450	0	#1578	
131	Brett Berkman	12498580	0	#1601	
132	Al Thomka	12443580	0	#1552	
133	Mahesh Murthy	12425260	0	#1084	
134	Chris Tabaka	12063780	0	#680	
135	Dave Stewart	11750040	0	#1842	
136	Bob S Johnson	11567440	0	#2299	
137	Nick Jaquay	11509910	0	#861	
138	Dan Allen	11121750	0	#2011	
139	John Flitton	11076590	0	#908	
140	Dave Stewart	10578450	0	#925	
141	Brian Shepherd	10517500	0	#4086	
142	Josh Sharpe	9903620	0	#92	
143	Lyman Sheats	9885680	0	#201	
144	Johnny Modica	9466020	0	#1161	
145	Dave Stewart	9199940	0	#131	
146	Escher Lefkoff	9079410	0	#270	
147	Johnny Modica	8808330	0	#793	
148	Jeff Douglas	8561930	0	#2078	
149	David Riel	8352870	0	#3643	
150	Fred Cochran	8279010	0	#1030	
151	Dave Hubbard	8162500	0	#3592	
152	Robert Wong	7949130	0	#396	
153	Trent Augenstein	7923480	0	#393	
154	Derek Fugate	7791950	0	#584	
155	Greg Galanter	7774130	0	#555	
156	Francesco La Rocca	7482060	0	#1671	
157	Josh Sharpe	7425300	0	#279	
158	Josh Sharpe	7343830	0	#2278	
159	Kevin Birrell	7300350	0	#1226	
160	Bob S Johnson	7148990	0	#2298	
161	David Riel	7044130	0	#1082	
162	Greg Galanter	6718250	0	#2345	
163	Maurice Pelletier	6633970	0	#2502	
164	Johnny Modica	6583840	0	#304	
165	Mahesh Murthy	6525670	0	#761	
166	Damien Charlety	6477010	0	#1193	
167	Joshua Henderson	6213440	0	#2286	
168	Tim Tournay	6029000	0	#524	
169	Nick Zendejas	6005490	0	#17	
170	Richard Achterberg	5806260	0	#3396	
171	Josh Sharpe	5784840	0	#294	
172	Roy Wils	5772390	0	#1021	
173	Salem Ayoob	5615310	0	#228	
174	Brian Mendelssohn	5150200	0	#6	
175	Steve Zahler	4887100	0	#1213	
176	Dave Hubbard	4876190	0	#4046	
177	Jon Replogle	4642600	0	#1421	
178	Brian Shepherd	4615730	0	#2246	
179	Dan Woodske	4298080	0	#1405	
180	Maurice Pelletier	4133380	0	#1023	
181	Angela Drobka	4104200	0	#3053	
182	Richard Achterberg	4031420	0	#2844	
183	Karyn Kiser	3976610	0	#3067	
184	Joe Said	3965920	0	#4017	
185	Zach Sharpe	3890250	0	#91	
